security_id,trading_symbol,company_name,lot_size,tick_size
760,CGPOWER,CG POWER AND IND SOL LTD,1.0,5.0
8546,CHALET,CHALET HOTELS LIMITED,1.0,5.0
637,CHAMBLFERT,CHAMBAL FERTILIZERS LTD,1.0,5.0
270,CHEMCON,CHEMCON SPECIAL CHEM LTD,1.0,1.0
2799,CHEMFAB,CHEMFAB ALKALIS LIMITED,1.0,5.0
5449,CHEMPLASTS,CHEMPLAST SANMAR LIMITED,1.0,5.0
2049,CHENNPETRO,CHENNAI PETROLEUM CORP LT,1.0,5.0
9879,CHEVIOT,CHEVIOT COMPANY LIMITED,1.0,10.0
8866,CHOICEIN,CHOICE INTERNATIONAL LTD,1.0,5.0
685,CHOLAFIN,CHOLAMANDALAM IN & FIN CO,1.0,10.0
21740,CHOLAHLDNG,CHOLAMANDALAM FIN HOL LTD,1.0,10.0
14937,CIEINDIA,CIE AUTOMOTIVE INDIA LTD,1.0,5.0
756015,CIFL,CAPITAL INDIA FINANCE LTD,1.0,1.0
5142,CIGNITITEC,CIGNITI TECHNOLOGIES LTD,1.0,10.0
8024,CINEVISTA,CINEVISTA LIMITED,1.0,1.0
694,CIPLA,CIPLA LTD,1.0,10.0
5049,CLEAN,CLEAN SCIENCE & TECH LTD,1.0,10.0
20223,CLEDUCATE,CL EDUCATE LIMITED,1.0,1.0
3482,CLSEL,CHAMAN LAL SETIA EXP LTD,1.0,5.0
7603,CMSINFO,CMS INFO SYSTEMS LIMITED,1.0,5.0
20374,COALINDIA,COAL INDIA LTD,1.0,5.0
6006,COASTCORP,COASTAL CORPORATION LTD,1.0,1.0
21508,COCHINSHIP,COCHIN SHIPYARD LIMITED,1.0,10.0
11543,COFORGE,COFORGE LIMITED,1.0,50.0
